id,n,runtime
00000001,100,8
00000002,200,22
00000003,500,47
00000004,1000,99
00000005,2000,283
00000006,5000,823
00000007,10000,1719
00000008,20000,2673
00000009,50000,7012
00000010,100000,15283
00000011,200000,30424
00000012,500000,85986
00000013,1000000,171541
00000014,2000000,355409
00000015,5000000,1134761
